gt_value,prediction,error,absolute_error,relative_error,absolute_relative_error,relative_error_percent,absolute_relative_error_percent
524700,473467.9562312244,-51232.04376877559,51232.04376877559,-0.09764063992524412,0.09764063992524412,-9.764063992524411,9.764063992524411
828200,889168.8058347142,60968.80583471421,60968.80583471421,0.07361604181926372,0.07361604181926372,7.361604181926372,7.361604181926372
440550,448760.579078827,8210.579078826995,8210.579078826995,0.01863711060907274,0.01863711060907274,1.8637110609072738,1.8637110609072738
600950,555534.2720013189,-45415.72799868113,45415.72799868113,-0.0755732223956754,0.0755732223956754,-7.55732223956754,7.55732223956754
292050,303122.4537834572,11072.453783457226,11072.453783457226,0.03791287034226066,0.03791287034226066,3.791287034226066,3.791287034226066
643500,628073.3643456814,-15426.635654318612,15426.635654318612,-0.0239730157798269,0.0239730157798269,-2.3973015779826903,2.3973015779826903
460350,418647.415999655,-41702.58400034503,41702.58400034503,-0.09058886499477578,0.09058886499477578,-9.058886499477579,9.058886499477579
530250,519465.6253113437,-10784.374688656302,10784.374688656302,-0.020338283241218863,0.020338283241218863,-2.0338283241218864,2.0338283241218864
353500,457349.9923626478,103849.99236264778,103849.99236264778,0.293776498904237,0.293776498904237,29.3776498904237,29.3776498904237
638550,620937.6659699981,-17612.33403000189,17612.33403000189,-0.02758176185107179,0.02758176185107179,-2.758176185107179,2.758176185107179
328250,345488.69475186383,17238.694751863834,17238.694751863834,0.05251696801786392,0.05251696801786392,5.251696801786392,5.251696801786392
585800,681628.9074859987,95828.9074859987,95828.9074859987,0.16358639038238085,0.16358639038238085,16.358639038238085,16.358639038238085
1138500,1055849.417607674,-82650.58239232609,82650.58239232609,-0.07259603196515248,0.07259603196515248,-7.259603196515248,7.259603196515248
742500,743113.9847781786,613.984778178623,613.984778178623,0.0008269155261664956,0.0008269155261664956,0.08269155261664955,0.08269155261664955
1010000,1141264.2428329897,131264.24283298966,131264.24283298966,0.1299645968643462,0.1299645968643462,12.99645968643462,12.99645968643462
787050,780967.2370011039,-6082.762998896069,6082.762998896069,-0.00772855981055342,0.00772855981055342,-0.772855981055342,0.772855981055342
444400,446334.8704339279,1934.870433927921,1934.870433927921,0.004353893865724395,0.004353893865724395,0.43538938657243953,0.43538938657243953
313100,248022.6300549332,-65077.36994506681,65077.36994506681,-0.2078485146760358,0.2078485146760358,-20.78485146760358,20.78485146760358
470250,461640.52319468657,-8609.476805313432,8609.476805313432,-0.0183082972999754,0.0183082972999754,-1.83082972999754,1.83082972999754
554400,701124.9723027636,146724.9723027636,146724.9723027636,0.2646554334465433,0.2646554334465433,26.46554334465433,26.46554334465433
1237500,902647.5789140086,-334852.42108599143,334852.42108599143,-0.270587815018983,0.270587815018983,-27.0587815018983,27.0587815018983
514800,472196.11040951416,-42603.88959048584,42603.88959048584,-0.08275813828765702,0.08275813828765702,-8.275813828765703,8.275813828765703
409050,405845.7977554554,-3204.2022445445764,3204.2022445445764,-0.00783327770332374,0.00783327770332374,-0.7833277703323741,0.7833277703323741
272700,301350.0593411115,28650.05934111151,28650.05934111151,0.10506072365644119,0.10506072365644119,10.506072365644119,10.506072365644119
