Feature,Importance
municipality_Pijnacker-Nootdorp,6.449842393414559e-07
municipality_Culemborg,5.944387768787563e-07
municipality_Beesel,5.834892075670534e-07
municipality_Waddinxveen,5.72045787032166e-07
municipality_Zwijndrecht,5.713776293036528e-07
municipality_Oirschot,5.623648825754266e-07
municipality_Westerveld,5.312124203708984e-07
municipality_Veldhoven,5.245007247813286e-07
municipality_Hulst,5.192248590531421e-07
municipality_Ermelo,5.019911731440511e-07
municipality_Geldrop-Mierlo,4.881657861328654e-07
municipality_Opsterland,4.67952172487293e-07
municipality_Papendrecht,4.205176036249541e-07
municipality_Noordenveld,4.1979389210439317e-07
object_type_Portiekwoning,4.1335315980643334e-07
municipality_Meppel,4.1198344267055957e-07
municipality_Tynaarlo,3.8904855069734644e-07
municipality_Bergeijk,3.789129117510939e-07
municipality_Ridderkerk,3.56725107708916e-07
municipality_Urk,3.075588013670678e-07
municipality_Zevenaar,3.024880311993342e-07
municipality_Diemen,3.000079726148515e-07
municipality_Albrandswaard,2.9168578853663254e-07
municipality_Bunnik,2.879891028644031e-07
municipality_Best,2.7815438071619986e-07
municipality_Heerde,2.726000715249421e-07
municipality_De Wolden,2.500843304477069e-07
municipality_Etten-Leur,2.48002786291649e-07
municipality_Borsele,2.3712941527589721e-07
municipality_Roerdalen,2.202270342392188e-07
municipality_Leiderdorp,2.09384422591913e-07
municipality_Hilvarenbeek,2.0545195352132654e-07
municipality_Coevorden,2.049652836540033e-07
municipality_Schouwen-Duiveland,1.9112319932504102e-07
municipality_Someren,1.8183400750634845e-07
municipality_Goes,1.7396590906330438e-07
municipality_Breda,1.4512614755536552e-07
municipality_Drechterland,1.2501588646487783e-07
municipality_Zwartewaterland,1.0978924060044212e-07
municipality_Sliedrecht,1.093120984250851e-07
municipality_Doetinchem,1.0177900612758388e-07
municipality_Oudewater,8.629319480843483e-08
municipality_Son en Breugel,8.245901756241314e-08
municipality_Hendrik-Ido-Ambacht,7.235270478687271e-08
municipality_Nieuwkoop,6.777897590310027e-08
municipality_Sluis,6.036567972193785e-08
municipality_Krimpenerwaard,5.5589760450408386e-08
municipality_Schiermonnikoog,5.331113408747933e-08
municipality_Voorschoten,4.3847646013632184e-08
municipality_Wageningen,3.806448792971558e-08
municipality_Landsmeer,3.493974622778949e-08
municipality_Eemsdelta,3.484998189959722e-08
municipality_Harderwijk,3.252734119495958e-08
municipality_Noordoostpolder,3.109915402534014e-08
municipality_Lelystad,2.7661846793507023e-08
municipality_Westerkwartier,2.7596170416096146e-08
municipality_Moerdijk,2.6625859264598297e-08
municipality_Tilburg,2.6336727716898156e-08
municipality_Zeewolde,2.5285294437259016e-08
municipality_Noardeast-Fryslân,2.2819728621700575e-08
municipality_Veendam,1.974205480025748e-08
municipality_Lansingerland,1.8979962117584008e-08
municipality_Gouda,1.673807243273463e-08
municipality_Druten,1.4755236311150436e-08
municipality_Brummen,1.3629953555102557e-08
municipality_Heerenveen,1.0856406609388073e-08
municipality_Midden-Groningen,9.659505199687921e-09
municipality_Kapelle,9.236541677498756e-09
municipality_Oegstgeest,6.2884565251091714e-09
municipality_Capelle aan den IJssel,5.77772080715091e-09
municipality_Berg en Dal,5.009362745187794e-09
municipality_Boxtel,4.9276130141739386e-09
municipality_Den Helder,4.056698993782094e-09
municipality_Oldambt,8.556188332583293e-10
municipality_Leeuwarden,5.702008282972866e-10
municipality_Loon op Zand,3.3118246051083034e-10
municipality_Het Hogeland,3.183251608375923e-11
municipality_Medemblik,6.8746429935211494e-12
municipality_Asten,0.0
municipality_Aa en Hunze,0.0
municipality_Halderberge,0.0
municipality_Hattem,0.0
municipality_Maassluis,0.0
municipality_IJsselstein,0.0
municipality_Geertruidenberg,0.0
municipality_Rucphen,0.0
municipality_Deventer,0.0
municipality_Opmeer,0.0
municipality_Olst-Wijhe,0.0
municipality_Eemnes,0.0
municipality_Roosendaal,0.0
municipality_Tytsjerksteradiel,0.0
municipality_Twenterand,0.0
municipality_Texel,0.0
municipality_Voorst,0.0
municipality_Vlaardingen,0.0
municipality_Westervoort,0.0
municipality_Wijk bij Duurstede,0.0
